State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
Alabama,339.06,1042,198.64,933,149.49,123,1/1/2014
Alaska,288.75,252,260.6,297,388.58,26,1/1/2014
Arizona,303.31,1941,209.35,1625,189.45,222,1/1/2014
Arkansas,361.85,576,185.62,544,125.87,112,1/1/2014
California,248.78,12096,193.56,12812,192.92,778,1/1/2014
Colorado,236.31,2161,195.29,1728,213.5,128,1/1/2014
Connecticut,347.9,1294,273.97,1316,257.36,91,1/1/2014
Delaware,373.18,347,226.25,273,199.88,34,1/1/2014
District of Columbia,352.26,433,295.67,349,213.72,39,1/1/2014
Florida,306.43,6506,220.03,5237,158.26,514,1/1/2014
Georgia,332.21,3099,213.52,2269,153.45,229,1/1/2014
Hawaii,310.96,328,270.38,350,160.46,25,1/1/2014
Idaho,276.05,315,254.96,445,132.61,20,1/1/2014
Illinois,359.74,4008,287.23,3644,181.25,329,1/1/2014
Indiana,336.8,1665,206.24,1446,154.05,248,1/1/2014
Iowa,371.7,697,292.34,649,252.24,103,1/1/2014
Kansas,353.51,838,260.97,628,124.27,109,1/1/2014
Kentucky,337.33,1013,183.17,986,120.31,132,1/1/2014
Louisiana,377.71,1071,243.26,864,153.73,224,1/1/2014
Maine,321.1,450,259.18,425,214.8,52,1/1/2014
Montana,279.73,585,257.98,258,734.65,22,1/1/2014
Nebraska,352.64,508,247.03,510,142.99,62,1/1/2014
Nevada,269.61,899,218.67,928,231.08,61,1/1/2014
New Hampshire,366.47,422,289.81,441,561.05,38,1/1/2014
New Jersey,354.91,2244,294.39,2799,225.62,185,1/1/2014
New Mexico,293.86,565,216.55,434,63.7,42,1/1/2014
New York,351.98,5800,268.88,5824,190.38,482,1/1/2014
North Carolina,355.88,2775,247.26,1911,152.09,226,1/1/2014
North Dakota,412.84,137,361.95,200,269.55,13,1/1/2014
Ohio,336.63,3050,212.44,2817,168.87,399,1/1/2014
Oklahoma,364.57,754,228.12,664,121.6,131,1/1/2014
Oregon,213.49,1612,188.55,1336,175.87,61,1/1/2014
Maryland,380.03,1963,248.71,1546,196.59,152,1/1/2014
Massachusetts,354.84,2878,297.28,2467,217.89,219,1/1/2014
Michigan,299.36,3048,277.63,2529,227.48,230,1/1/2014
Minnesota,371.18,1712,280.57,1532,183.29,101,1/1/2014
Mississippi,340.28,410,150.02,350,137.29,95,1/1/2014
Missouri,371.57,1559,241.63,1287,153.48,204,1/1/2014
Pennsylvania,372.68,3829,266.44,3205,194.12,364,1/1/2014
Rhode Island,335.29,529,262.07,360,207.93,33,1/1/2014
South Carolina,349.42,1153,201.99,902,176.93,119,1/1/2014
South Dakota,387.8,161,362.7,167,125.68,20,1/1/2014
Tennessee,359.75,1546,223.62,1220,200.59,147,1/1/2014
Texas,343.33,5985,235.87,5631,141.96,850,1/1/2014
Utah,291.54,684,233.11,664,169.84,42,1/1/2014
Vermont,379.88,277,323.31,224,187.06,24,1/1/2014
Virginia,374.01,2472,288.44,1959,223.02,202,1/1/2014
Washington,236.03,2351,192.06,2345,148.33,108,1/1/2014
West Virginia,360.8,350,197.75,367,158.25,40,1/1/2014
Wisconsin,357.99,1623,267.95,1368,229.91,125,1/1/2014
Wyoming,355.9,93,378.95,134,161.3,11,1/1/2014
Alabama,337.54,1539,208.24,1463,NA,182,1/1/2015
Alaska,303.02,350,270.45,475,NA,37,1/1/2015
Arizona,298.51,2638,209.43,2426,NA,306,1/1/2015
Arkansas,341.68,846,207.2,836,NA,145,1/1/2015
California,243.96,16512,189.35,19151,NA,1096,1/1/2015
Colorado,243.72,3148,195.11,2877,NA,178,1/1/2015
Connecticut,337.26,1835,267.99,2069,NA,126,1/1/2015
Delaware,364.19,490,234.72,431,NA,41,1/1/2015
District of Columbia,348.66,657,281.93,578,NA,49,1/1/2015
Florida,300.88,9369,217.05,8166,NA,695,1/1/2015
Georgia,324.3,4422,217.17,3467,NA,303,1/1/2015
Hawaii,307.64,452,263.45,522,NA,30,1/1/2015
Idaho,275.37,450,245.14,672,NA,35,1/1/2015
Illinois,353.97,5623,282.59,5525,NA,451,1/1/2015
Indiana,332.48,2385,214.43,2247,NA,326,1/1/2015
Iowa,364.92,975,289.05,1045,NA,122,1/1/2015
Kansas,350.24,1160,260.7,999,NA,138,1/1/2015
Kentucky,338.76,1491,173.9,1506,NA,180,1/1/2015
Louisiana,361.51,1521,240.78,1350,NA,317,1/1/2015
Maine,312.3,620,234.89,657,NA,61,1/1/2015
Montana,265.51,738,241.42,364,NA,32,1/1/2015
Nebraska,335.65,695,246.33,723,NA,76,1/1/2015
Nevada,266.14,1237,226.59,1431,NA,78,1/1/2015
New Hampshire,353.87,599,289.07,658,NA,51,1/1/2015
New Jersey,345.31,3058,286.53,4197,NA,256,1/1/2015
New Mexico,289.04,800,219.28,665,NA,68,1/1/2015
New York,343.8,7840,263.56,8716,NA,616,1/1/2015
North Carolina,345.24,4111,245.87,3030,NA,314,1/1/2015
North Dakota,393.94,213,339.6,327,NA,23,1/1/2015
Ohio,332.59,4242,218.93,4269,NA,550,1/1/2015
Oklahoma,354.61,1115,238.15,1073,NA,195,1/1/2015
Oregon,205.8,2179,180.9,2018,NA,95,1/1/2015
Maryland,366.01,2863,255.84,2463,NA,193,1/1/2015
Massachusetts,345.62,4002,285.84,3783,NA,289,1/1/2015
Michigan,288.06,3990,270.77,3728,NA,295,1/1/2015
Minnesota,351.55,2365,272.96,2467,NA,128,1/1/2015
Mississippi,335.1,612,150.49,550,NA,143,1/1/2015
Missouri,351.6,2217,244.97,2114,NA,299,1/1/2015
Pennsylvania,362.89,5523,269.42,4978,NA,503,1/1/2015
Rhode Island,317.15,721,258.95,560,NA,47,1/1/2015
South Carolina,337,1684,205.71,1414,NA,164,1/1/2015
South Dakota,357.05,222,348.81,256,NA,25,1/1/2015
Tennessee,348.89,2243,225.38,1912,NA,219,1/1/2015
