ID,SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,CITY,STATE,ZIP,BEDS,BATHS,LOCATION,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,DAYS.ON.MARKET,X..SQUARE.FEET,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
19319,MLS Listing,NA,Single Family Residential,Baltimore,MD,21217,8,2.5,Windsor Mill,3304,11751,1915,166,89,NA,Active,,,MRIS,N,Y,39.3,-76.7
19320,MLS Listing,NA,Condo/Co-op,Bayside,NY,11360,1,1,Baybridge,NA,NA,1982,117,NA,525,Active,,,MLSLI,N,Y,40.8,-73.8
19321,MLS Listing,NA,Single Family Residential,Jacksonville,FL,32207,4,3,Shadyside,1961,NA,1929,41,217,NA,Active,,,NEFLMLS,N,Y,30.3,-81.7
19322,MLS Listing,NA,Condo/Co-op,Richmond,VA,23235,2,2,Bon Air,1030,NA,1987,129,164,849,Active,NA,NA,CVRMLS,N,Y,37.5,-77.6
19323,MLS Listing,NA,Condo/Co-op,Miami,FL,33137,2,2,Icon Bay,1143,NA,2015,86,696,862,Active,,,MARMLS,N,Y,25.8,-80.2
19324,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,1,1,Plaza Brickell,688,NA,2008,189,574,403,Active,,,MARMLS,N,Y,25.8,-80.2
19325,New Construction Plan,NA,Single Family Residential,Jacksonville,FL,32246,4,3,Tamaya,2402,NA,NA,NA,187,NA,Active,,,NewHomeSource.com,N,Y,30.3,-81.5
19326,MLS Listing,NA,Single Family Residential,Orlando,FL,32828,4,2.5,Orlando,2828,8666,1995,5,133,29,Active,,,MFRMLS,N,Y,28.5,-81.2
19327,New Construction Plan,NA,Single Family Residential,Jacksonville,FL,32257,3,2.5,Egrets Landing,2206,NA,NA,NA,125,NA,Active,,,DR Horton,N,Y,30.2,-81.6
19328,MLS Listing,NA,Townhouse,Miami,FL,33176,3,2.5,Miami,1632,NA,1977,14,92,232,Active,,,GFLMLS,N,Y,25.7,-80.4
19329,MLS Listing,NA,Condo/Co-op,Baltimore,MD,21230,3,2,Harborview Towers,1543,NA,1992,238,168,1735,Active,,,MRIS,N,Y,39.3,-76.6
19330,MLS Listing,NA,Condo/Co-op,Atlanta,GA,30309,2,2,1280 West,NA,NA,1989,12,NA,NA,Active,,,FMLS,N,Y,33.8,-84.4
19331,MLS Listing,NA,Condo/Co-op,Irvine,CA,92618,4,3,GP - Great Park,2062,NA,2014,2,453,190,Active,,,CRMLS,N,Y,33.7,-117.7
19332,MLS Listing,NA,Single Family Residential,Staten Island,NY,10304,3,2,Grant City,2000,3400,1925,1,275,NA,Active,,,SIBORMLS,N,Y,40.6,-74.1
19333,MLS Listing,NA,Single Family Residential,Orlando,FL,32828,4,2.5,Orlando,2582,5505,2005,10,122,18,Active,,,MFRMLS,N,Y,28.6,-81.2
19334,MLS Listing,NA,Condo/Co-op,Miami,FL,33132,2,2,The Grand,1479,NA,1986,169,317,909,Active,,,MARMLS,N,Y,25.8,-80.2
19335,MLS Listing,NA,Condo/Co-op,Miami,FL,33131,2,2,Icon Brickell,1390,NA,2009,988,610,NA,Active,,,MARMLS,N,Y,25.8,-80.2
19336,MLS Listing,NA,Condo/Co-op,Miami,FL,33179,2,2,Monterey,970,NA,1983,58,129,282,Active,,,Beaches MLS,N,Y,26,-80.2
19337,MLS Listing,NA,Single Family Residential,Atlanta,GA,30331-7529,4,3.5,,5214,NA,2010,5,95,NA,Active,,,GAMLS,N,Y,33.7,-84.5
19338,MLS Listing,NA,Single Family Residential,Santa Ana,CA,92707,2,1,69 - Santa Ana South of First,796,7125,1946,133,615,NA,Active,,,CRMLS,N,Y,33.7,-117.9
19339,MLS Listing,NA,Vacant Land,Staten Island,NY,10309,0,NA,Princes Bay,NA,22073,NA,23,NA,NA,Active,,,SIBORMLS,N,Y,40.5,-74.2
19340,MLS Listing,NA,Single Family Residential,Miami,FL,33176,3,1,7th Addn To Richmond Heig,1178,10147,1972,30,193,NA,Active,,,MARMLS,N,Y,25.6,-80.4
19341,MLS Listing,NA,Condo/Co-op,Forest Hills,NY,11375,1,1,Thurman Verona,750,NA,1950,23,359,NA,Active,,,MLSLI,N,Y,40.7,-73.8
19342,MLS Listing,NA,Condo/Co-op,Great Neck,NY,11021,1,1,Great Neck Terrace,NA,NA,1950,34,NA,NA,Active,,,MLSLI,N,Y,40.8,-73.7
19343,MLS Listing,NA,Single Family Residential,Orlando,FL,32808,3,2,Orlando,984,9080,1969,1,172,NA,Active,,,MFRMLS,N,Y,28.6,-81.4
